92
0 1.43 15991.7 3640.95 43.61 3.6 37.98 127.59 207.85 99.2 102.31 63.02 0.01 0.01 0.01 1.69 1969.74 11199.2 28160.6 44055.1 56118.8 63051.4 61156.8 57434.2 45652.5 30887.2 
1 1.22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 1.44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 1.09 9053.98 705.34 0 0 0 0 0 0 0 0 0 0 188.07 1551.66 10729.7 33021.8 55492.7 72539.5 83864.7 86058.9 82376.5 70535.6 51932.3 28545.2 
4 1.22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 1.06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
6 0.83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
7 0.83 0 0 0 0 0 0 0 0 0 0 0 66.6 1600.42 7141.02 24675.8 41434.6 62683.6 69872.1 67422.5 58865.8 44603.1 11091.6 1934.52 108.29 
8 1.36 2745.88 13.55 0.01 0.01 0.02 0.01 0.01 0.01 0.01 0.01 0.01 0.01 144.72 3831.79 17135 36435.7 55151.5 68313.3 76271.2 75400.4 68711.2 55278 34715.7 15176.3 
9 1.28 1476.33 32.01 0.02 0.03 0.03 0.03 0.04 0.04 0.04 0.05 0.04 0.04 12.38 1278.57 9609.25 26507.8 43382.9 57205.1 66213.7 65544.8 60572.6 48842.9 32558.4 12826 
10 1.27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
11 1.44 0 0 0 0 0 0 0 0 0 0 0 454.85 6959.3 24036.1 46729.7 66007 78191.3 81720.1 79382.4 67623.2 52609 32978.5 11311.9 696.11 
12 1.27 4530.19 418.22 0.02 0.02 0.02 0.02 0.03 0.03 0.03 0.02 0.02 0.02 0.03 191.69 2955.05 9435.54 21863.5 34104.4 45476.9 49437.2 48984.5 43034.7 29914.7 14423.2 
13 0.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
14 0.87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
15 0.84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
16 1.26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
17 1.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 731.93 9544.89 30893.3 53105 72000.2 84913.1 90646.6 86245.2 75217.9 58291.2 34374.4 11138.4 771.83 
18 1.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19 0.86 4403.39 3799.83 4219.39 7252.3 11584.3 16468.6 20297 22521.8 23356.4 21614.4 18329 12874.2 7181.44 2586.39 682.21 365.28 354.15 329.55 378.51 648.95 1544.96 2875.62 4451.5 4724.53 
20 1.48 3120.7 53.43 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 1.8 2053.95 14049 36302 59792.9 75952.1 80588.7 79107.4 73093.7 57404.1 39388.3 18429.4 
21 1.3 0 0 0 6.23 1035.72 3832.02 6965.79 10447.6 11599 10961.9 11347.8 16672.4 21668.5 27717.4 36233.3 40655.9 43903.7 40639.7 33869.4 21909.8 8117.45 870.41 0.72 0 
22 1.43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
23 1.02 13982.7 2898.51 5.18 0.02 0.02 0.02 0.03 0.03 0.02 0.03 0.03 0.03 0.03 15.72 1830.92 9648.77 27284.3 45068.4 54863.1 63882.4 64186.3 57337.1 47108.2 31448.8 
24 1.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
25 1.5 16206.7 10467.6 5155.36 1404.44 52.47 0 0 0 0 0 0 0 0 0 0 39.65 723.3 4214.75 9286.61 14313.7 18956.1 22706 23648.6 21527.5 
26 1.33 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 256.72 3648.27 13757 28024.2 37529.1 45533.2 49039.4 46519.9 39553 29236.6 17025.8 5697.55 385.86 
