6
0 1.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 1.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 1.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 1.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4 1.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 1.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54 136
0 s 0 0.08 0.25
1 s 0 0.08 0.25
2 s 0 0.08 0.25
3 s 0 0.08 0.25
4 s 0 0.08 0.25
5 c 0 0.02415 0.0805 16 0.165
6 c 0 0.02415 0.0805 16 0.165
7 c 0 0.02415 0.0805 16 0.165
8 c 0 0.02415 0.0805 16 0.165
9 s 1 0.08 0.25
10 s 1 0.08 0.25
11 s 1 0.08 0.25
12 s 1 0.08 0.25
13 s 1 0.08 0.25
14 c 1 0.02415 0.0805 16 0.165
15 c 1 0.02415 0.0805 16 0.165
16 c 1 0.02415 0.0805 16 0.165
17 c 1 0.02415 0.0805 16 0.165
18 s 2 0.08 0.25
19 s 2 0.08 0.25
20 s 2 0.08 0.25
21 s 2 0.08 0.25
22 s 2 0.08 0.25
23 c 2 0.02415 0.0805 16 0.165
24 c 2 0.02415 0.0805 16 0.165
25 c 2 0.02415 0.0805 16 0.165
26 c 2 0.02415 0.0805 16 0.165
27 s 3 0.08 0.25
28 s 3 0.08 0.25
29 s 3 0.08 0.25
30 s 3 0.08 0.25
31 s 3 0.08 0.25
32 c 3 0.02415 0.0805 16 0.165
33 c 3 0.02415 0.0805 16 0.165
34 c 3 0.02415 0.0805 16 0.165
35 c 3 0.02415 0.0805 16 0.165
36 s 4 0.08 0.25
37 s 4 0.08 0.25
38 s 4 0.08 0.25
39 s 4 0.08 0.25
40 s 4 0.08 0.25
41 c 4 0.02415 0.0805 16 0.165
42 c 4 0.02415 0.0805 16 0.165
43 c 4 0.02415 0.0805 16 0.165
44 c 4 0.02415 0.0805 16 0.165
45 s 5 0.08 0.25
46 s 5 0.08 0.25
47 s 5 0.08 0.25
48 s 5 0.08 0.25
49 s 5 0.08 0.25
50 c 5 0.02415 0.0805 16 0.165
51 c 5 0.02415 0.0805 16 0.165
52 c 5 0.02415 0.0805 16 0.165
53 c 5 0.02415 0.0805 16 0.165
0 0 18 b -1 100000 3
1 18 0 b -1 100000 3
2 0 9 b -1 100000 3
3 9 0 b -1 100000 3
4 9 45 b -1 100000 4
5 45 9 b -1 100000 4
6 9 36 b -1 100000 4
7 36 9 b -1 100000 4
8 9 27 b -1 100000 20
9 27 9 b -1 100000 20
10 18 27 b -1 100000 1
11 27 18 b -1 100000 1
12 27 36 b -1 100000 4
13 36 27 b -1 100000 4
14 36 45 b -1 100000 3
15 45 36 b -1 100000 3
16 0 2 i 0 100000 1
17 2 0 i 0 100000 1
18 0 1 i 0 100000 1
19 1 0 i 0 100000 1
20 1 4 i 0 25000 1
21 4 1 i 0 25000 1
22 1 3 i 0 25000 1
23 3 1 i 0 25000 1
24 2 4 i 0 25000 1
25 4 2 i 0 25000 1
26 2 3 i 0 25000 1
27 3 2 i 0 25000 1
28 3 6 i 0 10000 1
29 6 3 i 0 10000 1
30 3 5 i 0 10000 1
31 5 3 i 0 10000 1
32 4 8 i 0 10000 1
33 8 4 i 0 10000 1
34 4 7 i 0 10000 1
35 7 4 i 0 10000 1
36 9 11 i 1 100000 1
37 11 9 i 1 100000 1
38 9 10 i 1 100000 1
39 10 9 i 1 100000 1
40 10 13 i 1 25000 1
41 13 10 i 1 25000 1
42 10 12 i 1 25000 1
43 12 10 i 1 25000 1
44 11 13 i 1 25000 1
45 13 11 i 1 25000 1
46 11 12 i 1 25000 1
47 12 11 i 1 25000 1
48 12 15 i 1 10000 1
49 15 12 i 1 10000 1
50 12 14 i 1 10000 1
51 14 12 i 1 10000 1
52 13 17 i 1 10000 1
53 17 13 i 1 10000 1
54 13 16 i 1 10000 1
55 16 13 i 1 10000 1
56 18 20 i 2 100000 1
57 20 18 i 2 100000 1
58 18 19 i 2 100000 1
59 19 18 i 2 100000 1
60 19 22 i 2 25000 1
61 22 19 i 2 25000 1
62 19 21 i 2 25000 1
63 21 19 i 2 25000 1
64 20 22 i 2 25000 1
65 22 20 i 2 25000 1
66 20 21 i 2 25000 1
67 21 20 i 2 25000 1
68 21 24 i 2 10000 1
69 24 21 i 2 10000 1
70 21 23 i 2 10000 1
71 23 21 i 2 10000 1
72 22 26 i 2 10000 1
73 26 22 i 2 10000 1
74 22 25 i 2 10000 1
75 25 22 i 2 10000 1
76 27 29 i 3 100000 1
77 29 27 i 3 100000 1
78 27 28 i 3 100000 1
79 28 27 i 3 100000 1
80 28 31 i 3 25000 1
81 31 28 i 3 25000 1
82 28 30 i 3 25000 1
83 30 28 i 3 25000 1
84 29 31 i 3 25000 1
85 31 29 i 3 25000 1
86 29 30 i 3 25000 1
87 30 29 i 3 25000 1
88 30 33 i 3 10000 1
89 33 30 i 3 10000 1
90 30 32 i 3 10000 1
91 32 30 i 3 10000 1
92 31 35 i 3 10000 1
93 35 31 i 3 10000 1
94 31 34 i 3 10000 1
95 34 31 i 3 10000 1
96 36 38 i 4 100000 1
97 38 36 i 4 100000 1
98 36 37 i 4 100000 1
99 37 36 i 4 100000 1
100 37 40 i 4 25000 1
101 40 37 i 4 25000 1
102 37 39 i 4 25000 1
103 39 37 i 4 25000 1
104 38 40 i 4 25000 1
105 40 38 i 4 25000 1
106 38 39 i 4 25000 1
107 39 38 i 4 25000 1
108 39 42 i 4 10000 1
109 42 39 i 4 10000 1
110 39 41 i 4 10000 1
111 41 39 i 4 10000 1
112 40 44 i 4 10000 1
113 44 40 i 4 10000 1
114 40 43 i 4 10000 1
115 43 40 i 4 10000 1
116 45 47 i 5 100000 1
117 47 45 i 5 100000 1
118 45 46 i 5 100000 1
119 46 45 i 5 100000 1
120 46 49 i 5 25000 1
121 49 46 i 5 25000 1
122 46 48 i 5 25000 1
123 48 46 i 5 25000 1
124 47 49 i 5 25000 1
125 49 47 i 5 25000 1
126 47 48 i 5 25000 1
127 48 47 i 5 25000 1
128 48 51 i 5 10000 1
129 51 48 i 5 10000 1
130 48 50 i 5 10000 1
131 50 48 i 5 10000 1
132 49 53 i 5 10000 1
133 53 49 i 5 10000 1
134 49 52 i 5 10000 1
135 52 49 i 5 10000 1
